N,scenario,seed,method,C_BS,status,error,obj,runtime_total,runtime_pricing,gap,gap_pct,lp_lower_bound,lp_obj_final_pool,irmp_obj,pool_gap_pct,min_reduced_cost_scanned_last,num_negative_columns_scanned_last,num_columns_added_last,min_reduced_cost_added_last,best_reduced_cost_last,num_negative_columns_last,num_columns_total,iterations,runtime_sec,cg_status,gap_type,full_pricing_converged,pricing_converged,objective_stabilized,relative_improvement_last_5,injected_columns_count,injected_incumbent_methods,min_reduced_cost,operation_mode,lp_status,ip_status,success,num_iters,num_pricing_calls,num_columns_added,n_columns_generated,min_reduced_cost_last,pricing_time_share,infeasible_jobs,cost_energy,cost_delay,type_A_count,type_A_cost_energy,type_A_cost_delay,type_A_cost_total,type_A_shore_ratio,type_A_battery_ratio,type_A_brown_ratio,type_A_avg_tardy_hours,type_B_count,type_B_cost_energy,type_B_cost_delay,type_B_cost_total,type_B_shore_ratio,type_B_battery_ratio,type_B_brown_ratio,type_B_avg_tardy_hours,type_C_count,type_C_cost_energy,type_C_cost_delay,type_C_cost_total,type_C_shore_ratio,type_C_battery_ratio,type_C_brown_ratio,type_C_avg_tardy_hours,type_D_count,type_D_cost_energy,type_D_cost_delay,type_D_cost_total,type_D_shore_ratio,type_D_battery_ratio,type_D_brown_ratio,type_D_avg_tardy_hours,num_fully_masked,num_partially_masked,avg_masking_rate,time_saved_total,avg_stay_time,num_fully_masked_type_A,num_partially_masked_type_A,avg_masking_rate_type_A,num_fully_masked_type_B,num_partially_masked_type_B,avg_masking_rate_type_B,num_fully_masked_type_C,num_partially_masked_type_C,avg_masking_rate_type_C,num_fully_masked_type_D,num_partially_masked_type_D,avg_masking_rate_type_D,avg_delay_h,delay_cost,emissions_total_kg,emissions_total_tCO2,mode_shore_count,mode_battery_count,mode_brown_count,SP_share,BS_share,AE_share,objective,total_cost,avg_stay_h,masking_rate
100,U,1,CG+IR,0.4,ok,,159523.9286506756,17.17216080000071,0.0,1.4774595437087404e-05,0.0014774595437087403,159521.57174916725,159521.57174916725,159523.9286506756,0.0014774595437087403,0.0,0,0,0.0,0.0,0,42648,1,17.17216080000071,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,159523.9286506756,0.0,19,45928.80067540833,0.0,45928.80067540833,0.21052631578947367,0.7894736842105263,0.0,0.0,48,66047.45251958189,0.0,66047.45251958189,0.16666666666666666,0.8333333333333334,0.0,0.0,19,26147.675455685345,0.0,26147.675455685345,0.0,1.0,0.0,0.0,14,21400.0,0.0,21400.0,0.07142857142857142,0.9285714285714286,0.0,0.0,40,11,0.45842384451524654,70.4482800118959,15.897370824519914,5,3,0.35738591478747994,19,6,0.4736958585006243,7,2,0.3849816243438196,9,0,0.6428571428571429,0.013213142660989573,0.0,194157.06248249547,194.15706248249546,13,87,0,0.13,0.87,0.0,159523.9286506756,159523.9286506756,15.897370824519914,0.45842384451524654
100,U,2,CG+IR,0.4,ok,,170619.9168649107,20.327677899993432,0.0,7.739324583965249e-05,0.007739324583965249,170606.71203573962,170606.71203573962,170619.9168649107,0.007739324583965249,0.0,0,0,0.0,0.0,0,44467,1,20.327677899993432,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,170619.9168649107,0.0,23,64030.92615863924,0.0,64030.92615863924,0.043478260869565216,0.9565217391304348,0.0,0.0,53,70235.35301283485,0.0,70235.35301283485,0.2830188679245283,0.7169811320754716,0.0,0.0,12,17153.637693436638,0.0,17153.637693436638,0.0,1.0,0.0,0.0,12,19200.0,0.0,19200.0,0.0,1.0,0.0,0.0,46,12,0.5057798182838009,71.65849388224487,15.584802044544904,10,1,0.4494618836904942,23,11,0.5139690283679006,4,0,0.3333333333333333,9,0,0.75,0.017353507517870844,0.0,206153.34271259254,206.15334271259255,16,84,0,0.16,0.84,0.0,170619.9168649107,170619.9168649107,15.584802044544904,0.5057798182838009
100,U,3,CG+IR,0.4,ok,,163874.81177874684,16.069587899997714,0.0,0.0,0.0,163874.81179317628,163874.81179317628,163874.81177874684,0.0,0.0,0,0,0.0,0.0,0,42771,1,16.069587899997714,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42771,0.0,0.0,0,163474.81177874684,400.0,19,49878.05268186037,0.0,49878.05268186037,0.05263157894736842,0.9473684210526315,0.0,0.0,51,70017.60560592354,400.0,70417.60560592354,0.29411764705882354,0.7058823529411765,0.0,0.00980392156862745,18,25379.153490963,0.0,25379.153490963,0.0,1.0,0.0,0.0,12,18200.0,0.0,18200.0,0.08333333333333333,0.9166666666666666,0.0,0.0,52,9,0.5572900343854448,76.26871669414126,16.327366951004727,10,2,0.5413577940808194,24,6,0.5323865098889203,11,1,0.6273051859263319,7,0,0.5833333333333334,0.022149720940592168,400.0,199202.80384181187,199.20280384181186,17,83,0,0.17,0.83,0.0,163874.81177874684,163874.81177874684,16.327366951004727,0.5572900343854448
100,U,4,CG+IR,0.4,ok,,158674.5087054121,17.649928299993917,0.0,4.4825926402569284e-06,0.00044825926402569286,158673.79743222718,158673.79743222718,158674.5087054121,0.00044825926402569286,0.0,0,0,0.0,0.0,0,45126,1,17.649928299993917,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45126,0.0,0.0,0,158674.5087054121,0.0,14,32007.104363726237,0.0,32007.104363726237,0.2857142857142857,0.7142857142857143,0.0,0.0,56,81924.16824977536,0.0,81924.16824977536,0.125,0.875,0.0,0.0,10,13743.236091910512,0.0,13743.236091910512,0.0,1.0,0.0,0.0,20,31000.0,0.0,31000.0,0.05,0.95,0.0,0.0,44,8,0.4910954142799541,84.10468896213895,16.48774223558815,8,3,0.7507723828332693,22,4,0.4329271472152777,3,0,0.3,11,1,0.5677403912137043,0.0322668967167265,0.0,194013.65309969801,194.01365309969802,12,88,0,0.12,0.88,0.0,158674.5087054121,158674.5087054121,16.48774223558815,0.4910954142799541
100,U,5,CG+IR,0.4,ok,,161144.08286505236,17.001959900000656,0.0,2.7657192929710906e-05,0.0027657192929710908,161139.62607206308,161139.62607206308,161144.08286505236,0.0027657192929710908,0.0,0,0,0.0,0.0,0,43663,1,17.001959900000656,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,43663,0.0,0.0,0,161144.08286505236,0.0,17,46658.02304884422,0.0,46658.02304884422,0.058823529411764705,0.9411764705882353,0.0,0.0,50,65941.53435584393,0.0,65941.53435584393,0.26,0.74,0.0,0.0,17,23944.525460364253,0.0,23944.525460364253,0.0,1.0,0.0,0.0,16,24600.0,0.0,24600.0,0.0625,0.9375,0.0,0.0,38,8,0.41641125722724587,66.53013890129543,15.617709409339135,9,1,0.5345712233097173,16,7,0.39106829852918795,5,0,0.29411764705882354,8,0,0.5,0.030425376070272705,0.0,195948.5577597297,195.9485577597297,15,85,0,0.15,0.85,0.0,161144.08286505236,161144.08286505236,15.617709409339135,0.41641125722724587
100,U,6,CG+IR,0.4,ok,,163953.08253364087,16.498131399996055,0.0,4.842116114169169e-06,0.0004842116114169169,163952.28865377797,163952.28865377797,163953.08253364087,0.0004842116114169169,0.0,0,0,0.0,0.0,0,43388,1,16.498131399996055,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,43388,0.0,0.0,0,163953.08253364087,0.0,18,44649.1622457126,0.0,44649.1622457126,0.2222222222222222,0.7777777777777778,0.0,0.0,46,65721.03215464568,0.0,65721.03215464568,0.1956521739130435,0.8043478260869565,0.0,0.0,16,22582.888133282693,0.0,22582.888133282693,0.0,1.0,0.0,0.0,20,31000.0,0.0,31000.0,0.05,0.95,0.0,0.0,40,10,0.45959319344263905,72.30855710873254,15.870149078970275,7,4,0.5222642611653356,11,3,0.28300883550278394,9,0,0.5625,13,3,0.7270078105079899,0.018229386711430103,0.0,200547.6481411915,200.54764814119147,14,86,0,0.14,0.86,0.0,163953.08253364087,163953.08253364087,15.870149078970275,0.45959319344263905
100,U,7,CG+IR,0.4,ok,,169281.16856687047,17.93916370000079,0.0,1.4488228362818973e-05,0.0014488228362818972,169278.71598264275,169278.71598264275,169281.16856687047,0.0014488228362818972,0.0,0,0,0.0,0.0,0,45148,1,17.93916370000079,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45148,0.0,0.0,0,169281.16856687047,0.0,21,58625.279255806956,0.0,58625.279255806956,0.0,1.0,0.0,0.0,54,73908.73331758245,0.0,73908.73331758245,0.25925925925925924,0.7407407407407407,0.0,0.0,10,13747.15599348105,0.0,13747.15599348105,0.0,1.0,0.0,0.0,15,23000.0,0.0,23000.0,0.06666666666666667,0.9333333333333333,0.0,0.0,47,10,0.518434743763392,74.6753516915486,16.0073937537896,8,1,0.38360053924758053,26,7,0.5570237368373254,5,0,0.5,8,2,0.5805720841949626,0.01700951163827007,0.0,204978.20751301106,204.97820751301106,15,85,0,0.15,0.85,0.0,169281.16856687047,169281.16856687047,16.0073937537896,0.518434743763392
100,U,8,CG+IR,0.4,ok,,167048.1243424633,18.495740600003046,0.0,1.391077668628363e-05,0.0013910776686283629,167045.8005733097,167045.8005733097,167048.1243424633,0.0013910776686283629,0.0,0,0,0.0,0.0,0,45587,1,18.495740600003046,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,45587,0.0,0.0,0,167048.1243424633,0.0,19,51737.09906481649,0.0,51737.09906481649,0.05263157894736842,0.9473684210526315,0.0,0.0,61,86277.26444685584,0.0,86277.26444685584,0.21311475409836064,0.7868852459016393,0.0,0.0,9,12433.76083079103,0.0,12433.76083079103,0.0,1.0,0.0,0.0,11,16600.0,0.0,16600.0,0.09090909090909091,0.9090909090909091,0.0,0.0,51,10,0.5451211433145707,76.83490981504904,16.014034889435678,10,2,0.5523395492225249,28,7,0.5027567475247259,4,1,0.4832779219134246,9,0,0.8181818181818182,0.017219144736444248,0.0,202125.8991237503,202.12589912375032,15,85,0,0.15,0.85,0.0,167048.1243424633,167048.1243424633,16.014034889435678,0.5451211433145707
100,U,9,CG+IR,0.4,ok,,163375.09928639437,14.764037000000826,0.0,5.237906791117136e-06,0.0005237906791117136,163374.24354285232,163374.24354285232,163375.09928639437,0.0005237906791117136,0.0,0,0,0.0,0.0,0,41005,1,14.764037000000826,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,41005,0.0,0.0,0,163375.09928639437,0.0,19,52584.040584770926,0.0,52584.040584770926,0.0,1.0,0.0,0.0,43,56100.89968793068,0.0,56100.89968793068,0.32558139534883723,0.6744186046511628,0.0,0.0,24,34290.15901369276,0.0,34290.15901369276,0.0,1.0,0.0,0.0,14,20400.0,0.0,20400.0,0.14285714285714285,0.8571428571428571,0.0,0.0,45,10,0.4973327764401976,67.16928171625258,15.49952045074941,7,3,0.45959122615976855,21,6,0.5467073054190206,8,0,0.3333333333333333,9,1,0.6780450152833053,0.01859235087654831,0.0,198388.86316989403,198.38886316989402,16,84,0,0.16,0.84,0.0,163375.09928639437,163375.09928639437,15.49952045074941,0.4973327764401976
100,U,10,CG+IR,0.4,ok,,162400.68099482113,17.748288499999035,0.0,1.0275021929239851e-05,0.0010275021929239852,162399.01232426259,162399.01232426259,162400.68099482113,0.0010275021929239852,0.0,0,0,0.0,0.0,0,42844,1,17.748288499999035,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42844,0.0,0.0,0,162400.68099482113,0.0,18,50162.09373569747,0.0,50162.09373569747,0.0,1.0,0.0,0.0,54,72853.16619982292,0.0,72853.16619982292,0.25925925925925924,0.7407407407407407,0.0,0.0,18,25385.421059300723,0.0,25385.421059300723,0.0,1.0,0.0,0.0,10,14000.0,0.0,14000.0,0.2,0.8,0.0,0.0,44,12,0.4913431943008474,76.07500626751946,16.367746520109023,6,0,0.3333333333333333,23,9,0.5035303961447463,11,3,0.6635376687926914,4,0,0.4,0.01759551533753358,0.0,198323.20938157354,198.32320938157355,16,84,0,0.16,0.84,0.0,162400.68099482113,162400.68099482113,16.367746520109023,0.4913431943008474
100,U,1,CG+IR,0.45,ok,,178339.47421345147,16.595662200001243,0.0,1.5858094429793794e-05,0.0015858094429793794,178336.64608922883,178336.64608922883,178339.47421345147,0.0015858094429793794,0.0,0,0,0.0,0.0,0,42648,1,16.595662200001243,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,42648,0.0,0.0,0,178339.47421345147,0.0,19,51171.21168002153,0.0,51171.21168002153,0.21052631578947367,0.7894736842105263,0.0,0.0,48,73752.12764578388,0.0,73752.12764578388,0.16666666666666666,0.8333333333333334,0.0,0.0,19,29416.134887646014,0.0,29416.134887646014,0.0,1.0,0.0,0.0,14,24000.0,0.0,24000.0,0.07142857142857142,0.9285714285714286,0.0,0.0,40,11,0.46845296380469037,71.64454553062693,15.93382478876277,4,3,0.3104073572826067,20,5,0.48830806257518855,9,0,0.47368421052631576,7,3,0.6077692563207469,0.0088867667947191,0.0,194157.06248249547,194.15706248249546,13,87,0,0.13,0.87,0.0,178339.47421345147,178339.47421345147,15.93382478876277,0.46845296380469037
100,U,2,CG+IR,0.45,ok,,190845.92207749336,20.806806799999322,0.0,8.302900139235905e-05,0.008302900139235906,190830.07633116347,190830.07633116347,190845.92207749336,0.008302900139235906,0.0,0,0,0.0,0.0,0,44467,1,20.806806799999322,full_pricing_converged,Full-CG LP-IP gap,True,True,False,,0,,0.0,simops,Optimal,Optimal,True,1,0,0,44467,0.0,0.0,0,190845.92207749336,0.0,23,71908.2069146626,0.0,71908.2069146626,0.043478260869565216,0.9565217391304348,0.0,0.0,53,78039.87275771453,0.0,78039.87275771453,0.2830188679245283,0.7169811320754716,0.0,0.0,12,19297.84240511622,0.0,19297.84240511622,0.0,1.0,0.0,0.0,12,21600.0,0.0,21600.0,0.0,1.0,0.0,0.0,46,12,0.4991296007408035,70.16649653766046,15.634125734324538,9,2,0.41266050392733256,24,10,0.5173918581839944,4,0,0.3333333333333333,9,0,0.75,0.019198033562109557,0.0,206153.34271259254,206.15334271259255,16,84,0,0.16,0.84,0.0,190845.92207749336,190845.92207749336,15.634125734324538,0.4991296007408035
